Judul,Penerbit,Tahun Terbit,Tempat Terbit,Pengarang,Tipe Koleksi
financial statement analysis analisis lapor uang,kencana,2018,jakarta,muhammad anwar,akuntansi
focus on personal finance an active approach to help you develop succesful financial skil,politeknik harapan bersama tegal,2014,tegal,yunita eva,akuntansi
hukum pailit prinsip norma dan praktik di adil,nusamedia,2018,jakarta,tri astuti handayani,akuntansi
hukum uang negara,nusamedia,2018,jakarta,teguh prasetyo,akuntansi
hukum pajak,kencana,2008,jakarta,shubhan m hadi,akuntansi
hukum perban nasional indonesia edisi dua,sinar grafika,2012,jakarta,sutedi adrian,akuntansi
ilmu administrasi publik kontempor,elex media komputindo,2003,jakarta,seo hyun sookchong sae nan,akuntansi
information technology for management eighth edition international student vers,politeknik harapan bersama tegal,2014,tegal,alfian agus,akuntansi
intermediate accounting lengkap dengan soal latih,maxikom,2011,palembang,chandra handi,akuntansi
internal audit,maxikom,2011,palembang,chandra handi,akuntansi
international accounting akuntansi internasion,politeknik harapan bersama tegal,2019,tegal,ida afriliana st m komkasnali ayu ratnasarilistianto dimashapsari niken ayumuhammad bakhar m kom,akuntansi
international financial manag,graha ilmu,2014,yogyakarta,sulindawati ni luh gede ernigede adi yuniartalucy sri musmini,akuntansi
international financial reporting standards konvergensi dan kendala aplikasi di indonesia,erlangga,2011,jakarta,kumaat valery g,akuntansi
international financial reporting standards buah pandu praktis edisi,salemba empat,2010,jakarta,choi frederick d smeek gary k,akuntansi
investasi pada pasar modal syariah,politeknik harapan bersama tegal,2014,tegal,agustina widya,akuntansi
jasa audit dan assur,andi,2005,yogyakarta,priyambodo tri kuntoroheriadi dodi,akuntansi
jawab tanya tanya diskusi teori ekonomi mikro anilisis matemati,elex media komputindo,2007,jakarta,koo cornelius,akuntansi
judical review perda pajak dan retribusi daerah,jasakom,2008,jakarta,gunadi i made,akuntansi
kamus istilah pariwisata dan hotel,rineka cipta,2009,jakarta,sudarsono,akuntansi
kamus istilah kredit,pt . gramedia,1992,jakarta,echols john m,akuntansi
kamus pajak daftar singkat istilah paja akuntansi bea dan cukai serta adil pajak serta dengan jela,salemba infotek,2004,"hoboken "" "" nj",tim penelitian dan pengembangan wahana komputer,akuntansi
kamus standar akuntansi,riugha edu pustaka,2021,jakarta,edyar kristyanto,akuntansi
kapita selekta ekonomi islam kontempor,politeknik harapan bersama tegal,2015,tegal,amaliani syifah novia,akuntansi
kasus periksa akuntansi,alfabeta,2011,bandung,muchtadi deddy,akuntansi
kasus manajemen usaha indonesia seri,komunitas sastrawan tegalan,2019,tegal,sl gaharu,akuntansi
bijak fiskal dan moneter teori dan empirik,al qowam,2005,solo,fattah aiman bin abdul,akuntansi
keetentuan umum paja lengkap dengan undang no tahun,trans medika,2017,yogyakarta,munayarokh,akuntansi
tentu umum dan tata cara paja kup dan pajak hasil pph wajib pajak badan untuk tahun pajak,bumi aksara,2016,jakarta,daryantomahir imam,akuntansi
kewirausahaan,salemba medika,2008,jakarta,uliyah masrifatulalimul hidayat a aziz,akuntansi
kewirausahaan teori praktik dan kasus edisi,satu nusa,2010,bandung,daryanto,akuntansi
kewirausahaan dan manajemen kecil buku,politeknik harapan bersama tegal,2017,tegal,nurmuliatun rahayu,akuntansi
kewirausahaan dan manajemen usaha kecil buku,salemba empat,2009,jakarta,suryana,akuntansi
kewirausahaan bangun usaha sukses sejak usia muda,salemba empat,2015,jakarta,saiman leonardus,akuntansi
kewirausahaan untuk mahasiswa dan umum edisi revisi lengkap lampir giat praktikum bentuk mental dan terampil wirausaha,salemba empat,2008,jakarta,zimmerer thomas wscarborough norman m,akuntansi
kode etik profesi akuntan publik,bukubiru,2012,yogyakarta,tim penerbit,akuntansi
kompilasi undang paja lengkap,elek media komputindo,2013,jakarta,supardi yuniar,akuntansi
komunikasi bisni,egc,2010,jakarta,rochmah,akuntansi
kualitas lapor uang kaji teoretis dan empiris edisi pertama,graha ilmu,2006,yogyakarta,ariyus dony,akuntansi
kualitas sistem informasi akuntansi dan faktor yang pengaruh,liberti,2007,yogyakarta,saatrohamidjojo hardjono dr,akuntansi
kumpul bahas soal soal manajemen uang,pt . gramedia pustaka utama,2015,jakarta,tohari akhmad,akuntansi
kumpul bahas soal antar manajemen uang,ilmu,2019,jakarta,bustoro aly,akuntansi
langkah mudah laku analisis statistik guna spss deskriptif parametrik non parametrik,gmb indonesia,2019,surakarta,esage muarif,akuntansi
lapor uang usaha baca paham dan anali,politeknik harapan bersama tegal,2016,tegal,nudin chasan,akuntansi
latih soal akuntansi dengan zahir account,politeknik harapan bersama tegal,2015,tegal,arifin shofyan,akuntansi
lembaga uang dan bank,politeknik harapan bersama tegal,2019,tegal,mohammad humam m komannur rave alfi,akuntansi
mahir komputerisasi akuntansi dengan myob accounting v,ombak,2006,yogyakarta,setiyanto agus,akuntansi
managemen manajemen,andi,2011,yogyakarta,joe wulan,akuntansi
management manajemen buku,politeknik harapan bersama tegal,2020,tegal,dedit priyono s pd m dsdessy ratna putry s sn m hum tiara syifani hokaido,akuntansi
managerial economics and business strategi,politeknik harapan bersama tegal,2019,tegal,much sobri sungkar m kommartselani adia sabara m komantar mohammad,akuntansi
managerial economics dalam ekonomi global edisi empat jilid,politeknik harapan bersama tegal,2017,tegal,maylane boni abdillah m trizal nur ependi s kombudianto dwi putra,akuntansi
manajemen administrasi kantor modern,politeknik harapan bersama tegal,2015,tegal,yoelindar p bryan,akuntansi
manajemen buku,politeknik harapan bersama tegal,2019,tegal,much sobri sungkar m kommaylane boni abdillah m twahyuni novia ayu,akuntansi
manajemen industri,politeknik harapan bersama tegal,2020,tegal,lukmanul khakim s komnisa ziyan syafiqotun,akuntansi
manajemen arsip untuk lembaga negara swasta dan guru tinggi,politeknik harapan bersama tegal,2015,tegal,marulloh jambrut rizal,akuntansi
manajemen uang,andi,2006,yogyakarta,nasution arman hakim,akuntansi
manajemen uang buku,bumi aksara,2014,jakarta,barthos basir,akuntansi
manajemen uang daerah,bumi aksara,2015,jakarta,barthos basir,akuntansi
manajemen uang internasional edisi,politeknik harapan bersama tegal,2020,tegal,imam bukhari s kom mmsaputro dimas hendi suryo,akuntansi
manajemen uang lanjut,egc,2011,jakarta,muninjaya a a gde,akuntansi
manajemen uang usaha,bpfe,1998,yogyakarta,husnan suad,akuntansi
manajemen uang teori dan terap putus jangka panjang,erlangga,2010,jakarta,mahmudi,akuntansi
manajemen kerja korporasi organisasi pandu susun indik,mitra wacana media,2012,jakarta,hady hamdy,akuntansi
manajemen pasar jilid,egc,2010,jakarta,muninjaya gde,akuntansi
manajemen pasar jilid edisi,ugm,2017,yogyakarta,satibi,akuntansi
manajemen pasar jilid edisi,mitra wacana media,2019,jakarta,nandan limakrisna,akuntansi
manajemen pasar jilid,gajah mada university press,2017,yogyakarta,sampurno,akuntansi
manajemen pasar surety bond,indeks,2009,jakarta,kotler philipkeller kevin lane,akuntansi
manajemen perban teori dan aplikasi,cv . sagung seto,2012,jakarta,lukmankustantyana swistien,akuntansi
manajemen perban edisi revisi,in media,2016,jakarta,willem siahaya,akuntansi
manajemen perban teori dan aplikasi,d-medika,2013,yogyakarta,bogadenta aryo,akuntansi
manajemen paja strategi rencana pajak dan bisnis edisi revisi,raja grafindo persada,2014,jakarta,kasmir,akuntansi
manajemen usaha koperasi pokok pikir kena manajemen dan kewirausahaan koperasi,bpfe,2002,yogyakarta,kuncoro mudrajadsuhardjono,akuntansi
manajemen sumber daya manusia suatu dekat makro,andi,2007,yogyakarta,fauziah sitimarsum wa,akuntansi
manajemen sumber daya manusia jilid,gava media,2017,yogyakarta,fadhli aulia,akuntansi
manajemen sumber daya manusia jilid,lautan pustaka,2020,jakarta,eiichi eric kasahara,akuntansi
manual untuk instruktur dosen kewirausahaan untuk program strata,mediakom,2010,yogyakarta,widadyo wahyu tri,akuntansi
matematika bisni,andi,2014,yogyakarta,trihendradi,akuntansi
matematika ekonomi,pt.gramedia pustaka utama,2016,jakarta,tere liye,akuntansi
matematika ekonomi uang,bpfe,2003,yogyakarta,badrudin rudyalgifari,akuntansi
matematika ekonomi dan bisnis edisi buku,andi,2009,yogyakarta,jong jek siang,akuntansi
matematika ekonomi dan bisnis edisi buku,mitra wacana media,2009,jakarta,silaen sakti,akuntansi
matematika finansial konsep teknis dan aplikasi,andi,2009,yogyakarta,sriyono d,akuntansi
matematika uang,mitra wacana media,2017,jakarta,sri mulyono,akuntansi
matematika uang edisi,salemba empat,2018,jakarta,kalangi josep bintang,akuntansi
matematika terap untuk bisnis dan ekonomi,andi,2012,yogyakarta,hernadi julan,akuntansi
mc graww hill s taxation of individuals and business entities edit,departemen kesehatan ri,1995,indonesia,departemen kesehatan republik indonesia,akuntansi
paham bisnis bank syariah modul sertifikasi tingkat i general banking syariah,ugm press,2014,yogyakarta,nugroho gesangmuslim mahardika,akuntansi
paham konsep analisa break even,gramedia pustaka utama,2014,jakarta,ikatan bankir indonesia,akuntansi
paham guna ilmu ekonomi dalam manajemen rumah sakit,tim,2010,jakarta,dwi w vinafitrah,akuntansi
buat lapor uang guna myob versi,mediakom,2010,yogyakarta,sibero c ivan,akuntansi
deteksi manipulasi lapor uang,elex media komputindo,2008,jakarta,martanto andang,akuntansi
aplikasi formula dan fungsi excel di bidang statistik,mitra wacana media,2018,jakarta,connie chairunnissa,akuntansi
kelola bisnis biaya bank syariah modul sertifikasi biaya syariah i edisi ke,elex media komputindo,2011,jakarta,kusrianto adi,akuntansi
kenal lebih dekat bpk,andi,2010,yogyakarta,nugroho adi,akuntansi
guna myob premier dan myob accounting,salemba empat,2010,jakarta,amin riawan,akuntansi
hitung rugi uang negara dalam tindak pidana korupsi,modula,2011,bandung,prijono agusandrianto heriratnadewi,akuntansi
kuasa statistik dengan spss,elex media komputindo,2005,jakarta,prasetyo didik dwi,akuntansi
metoda statistika,politeknik harapan bersama tegal,2021,tegal,syarifudin m tm khumaidi u m engbaeni indrawan,akuntansi
metode tel,itb bandung,2006,bandung,j b harborne,akuntansi
metode teliti bisnis edisi buku,remaja rosdakarya,2019,jakarta,eriyanto,akuntansi
metode teliti ilmu sosial dekat kualitatif dan kuantitatif,politeknik harapan bersama tegal,2016,tegal,adliah yusrina,akuntansi
metode teliti sosial ekonomi,erlangga,2009,jakarta,idrus muhammad,akuntansi
metode teliti untuk bisnis dekat pengembangan keahlian edisi buku,egc,2003,jakarta,danim sudarwandarwis,akuntansi
metode teliti untuk bisnis dekat pengembangan keahlian edisi buku,uns press,2015,surakarta,sulaeman endang sutisna,akuntansi
metode riset akuntansi dekat kuantitatif,politeknik harapan bersama tegal,2014,tegal,krisnawati ragil,akuntansi
metode riset bisni,politeknik harapan bersama tegal,2015,tegal,faresta fitriana,akuntansi
metode riset bisnis volume,politeknik harapan bersama tegal,2013,tegal,handoko vidi,akuntansi
metode riset bisnis volume,politeknik harapan bersama tegal,2014,tegal,darwita,akuntansi
metode riset untuk bisnis ekonomi bagaimana teliti dan tulis tesi,elex media komputindo,2007,jakarta,ansori sofi,akuntansi
metode riset untuk bisnis ekonomi bagaimana teliti dan tulis tesis edisi,salemba empat,2018,jakarta,chandrarin grahita,akuntansi
metodologi teliti bisni,politeknik harapan bersama tegal,2014,tegal,husain syarif,akuntansi
metodologi teliti kuantitatif kualitatif dan campur untuk manajemen bangun dan didik,graha ilmu,2016,yogyakarta,sulistyaningsih,akuntansi
metodologi teliti sosial dan ekonomi format kuantitatif dan kualitatif untuk studi sosiologi bijak publik komunikasi manajemen dan pasar,andi,2015,yogyakarta,swarjana i ketut,akuntansi
mikroekonomi teori antar edisi ke,elex media komputindo,2006,jakarta,sofana iwan,akuntansi
modul akuntansi perintah daerah se bakd,politeknik harapan bersama tegal,2015,tegal,putra otang candra yusan,akuntansi
modul kewirausahaan untuk program strata,departemen dalam negeri,2009,jakarta,ditjen bina administrasi keuangan daerah,akuntansi
myob accounting untuk orang awam,t i m,2010,jakarta,nurmawati,akuntansi
operations management sustainability and supply chain management eleventh edit,politeknik harapan bersama tegal,2019,tegal,rais s pd m komm teguh prihandoyo m komcandra alisetiawan candra,akuntansi
operator komputer junior,pearson,2014,england,heizer jayrender barry,akuntansi
organisasi dan motivasi dasar tingkat produktivita,graha ilmu,2014,yogyakarta,masya fajar,akuntansi
otonomi manajemen uang daerah,politeknik harapan bersama tegal,2014,tegal,prasetyo teguh adi,akuntansi
pajak bumi dan bangun bidang kebun,politeknik harapan bersama tegal,2017,tegal,muttaqin zaenalfebriyani fitrijayanti sindifebrian ezri rahmaamanda rizqiromdhon m n r,akuntansi
pajak daerah retribusi daerah,politeknik harapan bersama tegal,2018,tegal,yusuf achmad awalipamungkas bayoezulfanzazuli mu'minmisbah ahmad aulanindar refangga iman,akuntansi
pajak tambah nilai,politeknik harapan bersama tegal,2016,tegal,prasetyo hangga ekokusumo febrian tri,akuntansi
pandu audit entitas bisnis kecil,andi,2011,jakarta,wahana komputer,akuntansi
pandu brevet pajak akuntansi pajak dan tentu umum paja,nuha medika,2009,yogyakarta,mufdlilah,akuntansi
pandu brevet pajak ppn pajak jual barang mewah bea materai pbb,salemba empat,2011,jakarta,iapi,akuntansi
pandu praktis spss untuk olah dan statistik,andi,2017,jakarta,sianipar rh,akuntansi
pandu praktis standar akuntansi uang edisi,notebook,2014,yogyakarta,aisyah silviantikan nz,akuntansi
pasar uang pasar valuta as,bumi aksara,2016,jakarta,winarno,akuntansi
pedoman dan cara isi spt pph pasal,nuha medika,2014,yogyakarta,sudartisukarni icesmi,akuntansi
pedoman praktis paham lapor uang,kencana,2019,jakarta,bahdin nur tanjung,akuntansi
buku dan pajak dengan excel,politeknik harapan bersama tegal,2015,tegal,prasetyo bagas dwi,akuntansi
pemrograman bisnis dan akuntansi bas microsoft access,andi,2010,yogyakarta,abdurohman maman,akuntansi
penatausahaan dan akuntansi uang daerah untuk skpd edisi buku,politeknik harapan bersama tegal,2020,tegal,mia nurul azmi s pdputri vanda mutiara aniza,akuntansi
penatausahaan dan akuntansi uang dah untuk skpkd dan perintah daerah buku,politeknik harapan bersama tegal,2015,tegal,taher tarwoko,akuntansi
anggar,politeknik harapan bersama tegal,2017,tegal,ida farida se msiputri tia pradiftaandita seak,akuntansi
anggar usaha edisi,politeknik harapan bersama tegal,2012,tegal,ratnawati sinta,akuntansi
antar akuntansi,erlangga,2009,"hoboken "" "" nj",rudianto,akuntansi
antar akuntansi konsep teknik susun lapor uang adaptasi ifr,salemba empat,2018,jakarta,m nafarin,akuntansi
antar akuntansi dekat siklus akuntansi ifr,binarupa aksara publisher,2010,tanggerang,azwar azrul,akuntansi
antar akuntansi adaptasi indonesia principles of accounting indonesia adaption buku,deepublish,2016,yogyakarta,putri emmita devi hari,akuntansi
antar akuntansi dasar sak etap dan ifrs edisi revisi,aa-ykpn,2005,yogyakarta,tjandra ronowatim m,akuntansi
antar akuntansi ii,erlangga,2012,jakarta,rudianto,akuntansi
antar bisni,bumi aksara,2012,jakarta,hery,akuntansi
antar bisnis edisi pertama,mitra wacana media,2014,jakarta,saludin,akuntansi
antar ekonomi jilid,ugm,2008,yogyakarta,manullang m,akuntansi
antar ekonomi makro edisi,kencana,2004,jakarta,sukirno sadonosaefullah kurniawanhusin wan sabrisianturi charlesindrianto danny,akuntansi
antar ekonomi mikro edisi,egc,2012,jakarta,chayatin nurulmubarak wahit iqbalmainur iga,akuntansi
antar hukum indonesia,rineka cipta,2002,jakarta,bustan,akuntansi
antar hukum pajak,ugm,2013,yogyakarta,jati bambang murdaka eka,akuntansi
antar ilmu ekonomi,mitra wacana media,2017,jakarta,khelda ayunita,akuntansi
antar ilmu ekonomi dalam bijak publik,rajawali pers,2019,jakarta,bohari,akuntansi
antar bijak fiskal edisi cetak,salemba medika,2009,jakarta,hidayat aziz alimul,akuntansi
antar manajemen,remaja rosdakarya,2019,jakarta,deddy mulyana,akuntansi
antar manajemen edisi pertama,egc,2007,jakarta,manuaba i b gmanuaba i a chandra,akuntansi
antar matematika ekonomi untuk analisis bisnis dan ilmu sosial jilid edisisi ketigabela,trans info media,2012,jakarta,manuaba ida bagus gede,akuntansi
antar pasar mod,erlangga,2013,jakarta,haeusslerpaulwood,akuntansi
antar pasar modal desain untuk ajar pasar modal dengan mudah dan prakti,gava media,2006,yogyakarta,malik moh ibnu,akuntansi
antar pph dan pph lengkap dengan undang,andi,2000,yogyakarta,didharta boy rahardjo,akuntansi
antar sosiologi politik edisi revisi,erlangga,2004,jakarta,atkinson rita latkinson richard chilgard ernest r,akuntansi
pengaruh paja pada terap standar akuntansi uang entitas tanpa akuntabilitas publik,politeknik harapan bersama tegal,2015,tegal,sudartianne agnes,akuntansi
kembang umkm antara konseptual dan alam prakti,politeknik harapan bersama tegal,2016,tegal,lestari dianazizah nurulpalma satrio dwi,akuntansi
